difficulty;question;choice0;choice1;choice2;choice3;correctIndex
Hard;Nama ilmiah gula darah?;Sukrosa;Laktosa;Fruktosa;Glukosa;3
Hard;Penyusun utama atmosfer Bumi?;Neon;Oksigen;Nitrogen;Karbon dioksida;2
Hard;Heliosentris dikemukakan oleh?;Galileo;Ptolemy;Kepler;Copernicus;3
VeryHard;Nama lengkap DNA?;Dioxyribonucleic Acid;Deoxyribonucleic Acid;Deoxyribose Nucleic Acid;Deoxynucleic Acid;1
VeryHard;Hukum termodinamika yang menyatakan entropi meningkat?;Hukum III;Hukum I;Hukum Nol;Hukum II;3
VeryHard;Algoritma Dijkstra digunakan untuk?;Pencarian biner;Kompressi data;Sortir cepat;Jalur terpendek;3
VeryHard;Medan magnet Bumi dihasilkan oleh?;Interaksi angin matahari;Dinamo inti besi cair;Pita Van Allen;Kutub es;1
VeryHard;Teorema fundamental kalkulus menghubungkan?;Deret & integral;Vektor & matriks;Integral & turunan;Limit & turunan;2
VeryHard;Bahasa pemrograman pertama dukung OOP penuh?;Smalltalk;Pascal;C;Fortran;0
VeryHard;Arsitektur jaringan 'Transformer' terkenal pada tugas?;Pemrosesan bahasa alami;Pengolahan citra klasik;Sistem tertanam;Simulasi fisika;0
VeryHard;Molekul penyimpan energi jangka pendek dalam sel?;ATP;NADH;GTP;FADH2;0
VeryHard;Persamaan gelombang elektromagnetik ditemukan oleh?;Hertz;James Clerk Maxwell;Faraday;Ampère;1
VeryHard;Rumus luas permukaan bola?;4πr^2;3πr^2;2πr^2;πr^2;0
VeryHard;Fenomena kuantum 'tunneling' terjadi ketika?;Elektron memancarkan foton;Gelombang runtuh;Spin berbalik arah;Partikel melewati penghalang energi;3
VeryHard;Kompleksitas waktu QuickSort rata-rata?;O(n);O(n log n);O(n^2);O(log n);1
VeryHard;Nama reaksi redoks pada sel baterai yang melepas elektron?;Disosiasi;Hidrolisis;Reduksi;Oksidasi;3
VeryHard;Konstanta Planck h ~?;9.109×10^-31 kg;6.626×10^-34 J·s;8.314 J/(mol·K);1.381×10^-23 J/K;1
